id_cuadra,direccion,fecha,tiempo,ocupacion,lugares_cuadra,ocupacion_max,dispon_parq,altas_bajas(dia)
2,General Pinto 545,08-11-19,13:37:16,10,27,15,green,130
4,Rodriguez 552,08-11-19,13:39:12,7,28,12,green,82
5,9 de Julio 441,08-11-19,13:40:02,18,26,20,green,130
6,General Pinto 759,08-11-19,13:37:05,12,30,14,green,117
7,San Martín 758,08-11-19,13:38:11,8,28,8,green,47
8,Sarmiento 641,08-11-19,13:35:41,7,22,8,green,52
9,San Martín 560,08-11-19,13:36:32,10,22,10,green,27
11,San Martín 658,08-11-19,13:37:47,8,30,14,green,126
12,Belgrano 480,08-11-19,13:36:55,6,25,13,green,82
14,Rodriguez 464,08-11-19,13:35:08,3,30,5,green,46
15,General Pinto 631,08-11-19,13:40:06,5,25,13,green,58
17,Belgrano 660,08-11-19,13:40:03,11,23,17,green,96
20,General Pinto 490,08-11-19,13:32:51,7,24,13,green,75
22,Belgrano 768,08-11-19,13:37:34,11,35,18,green,109
23,Belgrano 364,08-11-19,13:40:07,2,17,6,green,33
24,Belgrano 868,08-11-19,13:38:53,5,18,9,green,61
27,General Pinto 843,08-11-19,13:39:19,7,22,13,green,105
32,Sarmiento 453,08-11-19,13:39:23,6,27,14,green,83
33,Sarmiento 755,08-11-19,13:39:04,8,32,13,green,100
34,Sarmiento 849,08-11-19,13:36:58,5,24,13,green,74
36,Mitre 758,08-11-19,13:38:43,4,15,7,green,60
37,Mitre 846,08-11-19,13:39:25,1,20,7,green,49
38,Mitre 948,08-11-19,13:38:18,5,20,7,green,48
41,Mitre 446,08-11-19,13:36:49,4,16,8,green,29
42,Mitre 552,08-11-19,13:39:59,6,19,10,green,66
43,Mitre 648,08-11-19,13:39:00,8,20,10,green,73
44,Alem 362,08-11-19,13:39:55,11,26,15,green,93
45,Alem 480,08-11-19,13:40:05,11,29,13,green,154
47,Alem 658,08-11-19,13:35:14,7,18,11,green,64
54,Chacabuco 852,08-11-19,13:39:02,6,23,10,green,50
63,9 de Julio 843,08-11-19,13:35:44,5,14,9,green,69
65,Rodriguez 746,08-11-19,13:36:52,6,23,8,green,75
66,Rodriguez 846,08-11-19,13:39:15,5,16,10,green,67
69,14 de Julio 657,08-11-19,13:40:05,5,10,6,green,23
72,Maipu 453,08-11-19,13:36:17,3,33,11,green,60
74,Maipu 653,08-11-19,13:39:06,4,20,10,green,82
76,Maipu 741,08-11-19,13:35:29,3,24,17,green,88
80,General Paz 447,08-11-19,13:35:32,9,36,15,green,98
83,General Paz 739,08-11-19,13:30:35,3,18,7,green,39
91,Av. España 957,08-11-19,13:40:06,4,13,4,green,34
2,General Pinto 545,08-11-19,13:43:46,11,27,15,green,131
4,Rodriguez 552,08-11-19,13:41:04,10,28,12,green,84
5,9 de Julio 441,08-11-19,13:44:11,17,26,20,green,131
6,General Pinto 759,08-11-19,13:44:48,13,30,14,green,122
7,San Martín 758,08-11-19,13:43:11,7,28,8,green,50
11,San Martín 658,08-11-19,13:43:08,9,30,14,green,127
12,Belgrano 480,08-11-19,13:44:33,5,25,13,green,83
15,General Pinto 631,08-11-19,13:40:33,4,25,13,green,59
17,Belgrano 660,08-11-19,13:41:42,10,23,17,green,97
19,Sarmiento 543,08-11-19,13:44:01,14,22,14,green,91
21,Belgrano 540,08-11-19,13:41:36,12,29,20,green,140
22,Belgrano 768,08-11-19,13:42:04,9,35,18,green,111
23,Belgrano 364,08-11-19,13:43:48,1,17,6,green,34
24,Belgrano 868,08-11-19,13:40:39,4,18,9,green,62
27,General Pinto 843,08-11-19,13:43:13,10,22,13,green,110
28,General Pinto 945,08-11-19,13:42:34,1,12,10,green,66
33,Sarmiento 755,08-11-19,13:42:16,9,32,13,green,103
35,Sarmiento 945,08-11-19,13:44:12,2,18,11,green,59
37,Mitre 846,08-11-19,13:42:44,2,20,7,green,50
38,Mitre 948,08-11-19,13:44:33,3,20,7,green,50
39,Chacabuco 442,08-11-19,13:43:29,8,25,15,green,100
43,Mitre 648,08-11-19,13:42:16,7,20,10,green,75
44,Alem 362,08-11-19,13:40:15,10,26,15,green,94
45,Alem 480,08-11-19,13:44:22,10,29,13,green,156
47,Alem 658,08-11-19,13:44:21,6,18,11,green,65
48,Alem 770,08-11-19,13:41:04,5,17,9,green,63
56,Yrigoyen 557,08-11-19,13:44:14,7,26,11,green,73
58,Yrigoyen 847,08-11-19,13:44:56,5,24,15,green,91
60,Fuerte Independencia 349,08-11-19,13:40:28,4,44,12,green,82
61,Chacabuco 357,08-11-19,13:41:36,10,22,14,green,79
62,9 de Julio 753,08-11-19,13:43:58,8,21,14,green,86
63,9 de Julio 843,08-11-19,13:42:03,4,14,9,green,70
65,Rodriguez 746,08-11-19,13:44:55,9,23,9,green,78
67,14 de Julio 347,08-11-19,13:43:01,4,20,9,green,50
68,14 de Julio 557,08-11-19,13:40:33,3,13,9,green,57
72,Maipu 453,08-11-19,13:44:24,4,33,11,green,61
73,Maipu 547,08-11-19,13:42:11,2,21,13,green,61
74,Maipu 653,08-11-19,13:43:24,6,20,10,green,84
82,General Paz 647,08-11-19,13:41:49,2,34,10,green,67
83,General Paz 739,08-11-19,13:40:16,4,18,7,green,40
89,Av. España 737,08-11-19,13:44:00,2,19,7,green,65
90,Av. España 843,08-11-19,13:40:19,4,15,4,green,28
2,General Pinto 545,08-11-19,13:49:27,14,27,15,green,138
4,Rodriguez 552,08-11-19,13:47:07,11,28,12,green,85
5,9 de Julio 441,08-11-19,13:46:19,18,26,20,green,132
6,General Pinto 759,08-11-19,13:48:41,12,30,14,green,126
7,San Martín 758,08-11-19,13:48:53,6,28,8,green,53
11,San Martín 658,08-11-19,13:50:03,7,30,14,green,131
12,Belgrano 480,08-11-19,13:45:41,6,25,13,green,86
14,Rodriguez 464,08-11-19,13:48:49,2,30,5,green,50
15,General Pinto 631,08-11-19,13:49:14,5,25,13,green,60
16,San Martín 852,08-11-19,13:40:34,3,32,10,green,75
17,Belgrano 660,08-11-19,13:48:10,8,23,17,green,99
19,Sarmiento 543,08-11-19,13:46:47,15,22,15,green,92
20,General Pinto 490,08-11-19,13:45:32,6,24,13,green,76
22,Belgrano 768,08-11-19,13:50:05,7,35,18,green,114
23,Belgrano 364,08-11-19,13:48:35,0,17,6,green,35
27,General Pinto 843,08-11-19,13:43:13,9,22,13,green,110
29,San Martín 364,08-11-19,13:49:13,8,19,10,green,65
30,San Martín 944,08-11-19,13:50:03,2,24,13,green,67
34,Sarmiento 849,08-11-19,13:48:42,6,24,13,green,75
35,Sarmiento 945,08-11-19,13:46:37,1,18,11,green,60
37,Mitre 846,08-11-19,13:45:43,1,20,7,green,51
38,Mitre 948,08-11-19,13:45:14,2,20,7,green,51
39,Chacabuco 442,08-11-19,13:49:10,7,25,15,green,103
42,Mitre 552,08-11-19,13:50:01,5,19,10,green,69
43,Mitre 648,08-11-19,13:47:31,8,20,10,green,76
44,Alem 362,08-11-19,13:45:12,9,26,15,green,95
45,Alem 480,08-11-19,13:50:04,7,29,13,green,162
46,Alem 556,08-11-19,13:49:28,8,24,13,green,90
47,Alem 658,08-11-19,13:47:46,7,18,11,green,66
51,Chacabuco 562,08-11-19,13:50:04,9,21,14,green,76
52,Chacabuco 646,08-11-19,13:50:05,9,21,10,green,63
54,Chacabuco 852,08-11-19,13:46:06,7,23,10,green,51
55,14 de Julio 467,08-11-19,13:40:26,6,13,7,green,33
56,Yrigoyen 557,08-11-19,13:48:55,8,26,11,green,74
65,Rodriguez 746,08-11-19,13:47:31,10,23,10,green,79
69,14 de Julio 657,08-11-19,13:47:44,4,10,6,green,24
73,Maipu 547,08-11-19,13:48:09,4,21,13,green,63
75,Maipu 333,08-11-19,13:49:34,10,31,10,green,81
82,General Paz 647,08-11-19,13:46:55,3,34,10,green,68
86,Av. España 481,08-11-19,13:49:43,2,10,4,green,28
97,Av. España 774,08-11-19,13:48:32,3,,7,green,39
2,General Pinto 545,08-11-19,13:52:14,15,27,15,green,141
3,San Martín 452,08-11-19,13:53:50,3,19,10,green,44
4,Rodriguez 552,08-11-19,13:54:43,10,28,12,green,87
6,General Pinto 759,08-11-19,13:54:56,13,30,14,green,128
7,San Martín 758,08-11-19,13:54:50,7,28,8,green,56
9,San Martín 560,08-11-19,13:52:59,11,22,11,green,28
16,San Martín 852,08-11-19,13:50:16,4,32,10,green,76
17,Belgrano 660,08-11-19,13:53:12,9,23,17,green,100
19,Sarmiento 543,08-11-19,13:54:16,14,22,15,green,93
20,General Pinto 490,08-11-19,13:53:27,7,24,13,green,77
21,Belgrano 540,08-11-19,13:51:43,13,29,20,green,141
22,Belgrano 768,08-11-19,13:50:11,8,35,18,green,114
27,General Pinto 843,08-11-19,13:53:29,7,22,13,green,113
28,General Pinto 945,08-11-19,13:54:42,3,12,10,green,68
31,Sarmiento 351,08-11-19,13:52:44,0,18,8,green,49
33,Sarmiento 755,08-11-19,13:53:42,8,32,13,green,106
39,Chacabuco 442,08-11-19,13:52:49,8,25,15,green,104
45,Alem 480,08-11-19,13:52:50,5,29,13,green,163
47,Alem 658,08-11-19,13:54:56,8,18,11,green,67
49,Alem 852,08-11-19,13:51:45,4,12,5,green,42
54,Chacabuco 852,08-11-19,13:50:17,6,23,10,green,52
60,Fuerte Independencia 349,08-11-19,13:50:30,3,44,12,green,83
62,9 de Julio 753,08-11-19,13:51:58,6,21,14,green,88
65,Rodriguez 746,08-11-19,13:51:52,9,23,10,green,80
66,Rodriguez 846,08-11-19,13:50:25,4,16,10,green,67
70,14 de Julio 767,08-11-19,13:50:46,3,21,7,green,32
74,Maipu 653,08-11-19,13:50:26,5,20,10,green,86
75,Maipu 333,08-11-19,13:53:46,8,31,10,green,84
80,General Paz 447,08-11-19,13:54:51,11,36,15,green,101
81,General Paz 547,08-11-19,13:50:10,2,17,8,green,45
82,General Paz 647,08-11-19,13:53:16,2,34,10,green,69
86,Av. España 481,08-11-19,13:54:28,1,10,4,green,29
90,Av. España 843,08-11-19,13:51:45,3,15,4,green,29
91,Av. España 957,08-11-19,13:50:28,3,13,4,green,35
4,Rodriguez 552,08-11-19,13:55:24,11,28,12,green,88
6,General Pinto 759,08-11-19,14:00:04,12,30,14,green,131
8,Sarmiento 641,08-11-19,13:55:49,6,22,8,green,53
9,San Martín 560,08-11-19,13:52:59,10,22,11,green,28
